Country,City,Exec_Date,type,Today,Tomorrow,2-days,3-days,4-days,5-days,6-days
Albania,Tirana,5/5/2024,min,10.32349968,10.82349968,11.57349968,14.02349949,15.12349987,14.77349949,13.27299976
Albania,Tirana,5/5/2024,avg,16.82350063,16.99849987,17.62349987,19.29850054,17.34850073,18.87325048,18.49800062
Albania,Tirana,5/6/2024,max,22.82350159,23.27350044,24.97350121,22.77350044,22.92350006,24.1230011,22.1230011
Albania,Tirana,5/6/2024,min,10.77349949,10.77349949,13.72350025,14.02349949,14.27349949,13.42299938,13.37300014
Albania,Tirana,5/6/2024,avg,16.79850054,17.02349997,19.34850073,18.39849997,18.59849977,18.77300024,17.74800062
Albania,Tirana,5/7/2024,max,23.77350044,24.67350006,21.62350082,22.87350082,23.12350082,22.67300034,23.22300148
Albania,Tirana,5/7/2024,min,11.22350025,14.07349968,14.37349987,14.72350025,14.87349987,12.27299976,11.67299938
Albania,Tirana,5/7/2024,avg,17.49850035,19.37349987,17.99850035,18.79850054,18.99850035,17.47300005,17.44800043
Algeria,Algiers,4/24/2024,max,18.52200127,22.22200012,23.52200127,25.27200127,21.5720005,22.5720005,16.56800079
Algeria,Algiers,4/24/2024,min,10.82199955,9.772000313,12.22200012,13.47200012,12.37199974,14.92199993,15.71800041
Algeria,Algiers,4/24/2024,avg,14.67200041,15.99700022,17.87200069,19.37200069,16.97200012,18.74700022,16.1430006
Algeria,Algiers,4/25/2024,max,22.17200089,24.52200127,23.77200127,21.27200127,20.5720005,16.21800041,20.71800041
Algeria,Algiers,4/25/2024,min,9.972000122,11.87199974,12.92199993,13.07199955,14.82199955,13.37199974,15.7680006
Algeria,Algiers,4/25/2024,avg,16.0720005,18.1970005,18.3470006,17.17200041,17.69700003,14.79500008,18.24300051
Algeria,Algiers,4/26/2024,max,24.02200127,23.52200127,19.02200127,15.87199974,20.47200012,22.31800079,18.36800003
Algeria,Algiers,4/26/2024,min,11.77200031,12.82199955,13.02200031,13.22200012,12.67199993,13.92199993,14.31800079
Algeria,Algiers,4/26/2024,avg,17.89700079,18.17200041,16.02200079,14.54699993,16.57200003,18.12000036,16.34300041
Algeria,Algiers,4/27/2024,max,23.8220005,18.92200089,17.42200089,18.67200089,23.42200089,19.76799965,19.11800003
Algeria,Algiers,4/27/2024,min,12.82199955,13.27200031,14.22200012,13.47200012,13.27200031,14.91800022,13.31800079
Algeria,Algiers,4/27/2024,avg,18.32200003,16.0970006,15.8220005,16.0720005,18.3470006,17.34299994,16.21800041
Algeria,Algiers,4/28/2024,max,20.72200012,16.62200165,18.67200089,22.92200089,20.5720005,19.56800079,20.11800003
Algeria,Algiers,4/28/2024,min,13.47200012,13.92199993,13.97200012,13.82199955,12.37199974,11.92199993,13.71800041
Algeria,Algiers,4/28/2024,avg,17.09700012,15.27200079,16.3220005,18.37200022,16.47200012,15.74500036,16.91800022
Algeria,Algiers,4/29/2024,max,17.92200089,17.47200012,21.8220005,20.92200089,21.92200089,22.36800003,24.76799965
Algeria,Algiers,4/29/2024,min,14.57199955,13.57199955,13.02200031,13.77200031,11.17199993,12.92199993,17.01799965
Algeria,Algiers,4/29/2024,avg,16.24700022,15.52199984,17.42200041,17.3470006,16.54700041,17.64499998,20.89299965
Algeria,Algiers,4/30/2024,max,16.5720005,22.27200127,20.27200127,21.92200089,24.97200012,24.31800079,24.71800041
Algeria,Algiers,4/30/2024,min,12.97200012,12.77200031,12.57199955,10.12199974,10.32199955,14.02200031,17.61800003
Algeria,Algiers,4/30/2024,avg,14.77200031,17.52200079,16.42200041,16.02200031,17.64699984,19.17000055,21.16800022
Algeria,Algiers,5/1/2024,max,23.3220005,20.52200127,22.02200127,24.37200165,26.22200012,24.92200089,22.06800079
Algeria,Algiers,5/1/2024,min,12.02200031,12.27200031,9.972000122,10.07199955,11.92199993,15.02200031,15.5180006
Algeria,Algiers,5/1/2024,avg,17.67200041,16.39700079,15.99700069,17.2220006,19.07200003,19.9720006,18.7930007
Algeria,Algiers,5/2/2024,max,20.97200012,21.67200089,23.8220005,26.12200165,27.27200127,22.5720005,22.16800117
Algeria,Algiers,5/2/2024,min,12.97200012,11.17199993,10.67199993,12.87199974,14.87199974,13.87199974,14.66800022
